(2017-12-14 21:39:06 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 2, ps_id: 1, proc_type: 65536, msg_type: 1
(2017-12-14 21:40:39 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 1, ps_id: 2, proc_type: 65537, msg_type: 0
(2017-12-14 21:40:39 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 1, ps_id: 2, proc_type: 65537, msg_type: 0
(2017-12-14 21:40:39 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 2, ps_id: 1, proc_type: 65537, msg_type: 1
(2017-12-14 21:40:39 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 2, ps_id: 1, proc_type: 65537, msg_type: 1
(2017-12-14 21:40:39 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 1, ps_id: 2, proc_type: 65538, msg_type: 0
(2017-12-14 21:40:39 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 1, ps_id: 2, proc_type: 65538, msg_type: 0
(2017-12-14 21:40:39 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 2, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 21:40:39 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 2, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 21:40:40 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 3, ps_id: 2, proc_type: 1048578, msg_type: 1
(2017-12-14 21:40:40 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 3, ps_id: 2, proc_type: 1048578, msg_type: 1
(2017-12-14 21:40:40 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 2, ps_id: 3, proc_type: 65536, msg_type: 0
(2017-12-14 21:40:40 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 2, ps_id: 3, proc_type: 65536, msg_type: 0
(2017-12-14 21:40:40 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 3, ps_id: 2, proc_type: 65536, msg_type: 1
(2017-12-14 21:40:40 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 3, ps_id: 2, proc_type: 65536, msg_type: 1
(2017-12-14 21:40:40 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 2, ps_id: 3, proc_type: 65537, msg_type: 0
(2017-12-14 21:40:40 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 2, ps_id: 3, proc_type: 65537, msg_type: 0
(2017-12-14 21:40:40 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 3, ps_id: 2, proc_type: 65537, msg_type: 1
(2017-12-14 21:40:40 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 3, ps_id: 2, proc_type: 65537, msg_type: 1
(2017-12-14 21:40:40 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 3, ps_id: 2, proc_type: 65537, msg_type: 1
(2017-12-14 21:40:41 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 3, ps_id: 2, proc_type: 65537, msg_type: 1
(2017-12-14 21:40:41 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 2, ps_id: 3, proc_type: 65538, msg_type: 0
(2017-12-14 21:40:41 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 2, ps_id: 3, proc_type: 65538, msg_type: 0
(2017-12-14 21:40:41 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 3, ps_id: 2, proc_type: 65538, msg_type: 1
(2017-12-14 21:40:41 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 3, ps_id: 2, proc_type: 65538, msg_type: 1
(2017-12-14 21:40:41 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: end session, ss_id: 2, ps_id: 3, proc_type: 1048579, msg_type: 0
(2017-12-14 21:41:06 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: end session, ss_id: 2, ps_id: 3, proc_type: 1048579, msg_type: 0
(2017-12-14 21:41:07 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: end session, ss_id: 3, ps_id: 2, proc_type: 1048579, msg_type: 1
(2017-12-14 21:41:07 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: end session, ss_id: 3, ps_id: 2, proc_type: 1048579, msg_type: 1
(2017-12-14 21:41:08 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: end session, ss_id: 3, ps_id: 2, proc_type: 1048579, msg_type: 1
(2017-12-14 21:41:09 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: end session, ss_id: 3, ps_id: 2, proc_type: 1048579, msg_type: 1
(2017-12-14 21:41:09 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 2, ps_id: 1, proc_type: 65538, msg_type: 1
(2017-12-14 21:41:09 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 2, ps_id: 1, proc_type: 65538, msg_type: 1
(2017-12-14 21:41:10 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: end session, ss_id: 1, ps_id: 2, proc_type: 1048579, msg_type: 0
(2017-12-14 21:41:10 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: end session, ss_id: 1, ps_id: 2, proc_type: 1048579, msg_type: 0
(2017-12-14 21:45:28 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 2, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:45:28 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: logout, ss_id: 2, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:45:34 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 4, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:45:34 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: logout, ss_id: 4, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:45:36 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 3, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:45:36 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: logout, ss_id: 3, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:47:14 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:47:14 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 1, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:47:14 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:47:14 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 2, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:48:15 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: logout, ss_id: 2, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:48:15 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: logout, ss_id: 2, ps_id: 10000, proc_type: 1048577, msg_type: 0
(2017-12-14 21:48:57 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 3, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:49:02 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 3, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:49:47 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 4, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:49:49 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 4, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:50:07 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 5, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:50:10 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 5, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:50:16 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 6, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:50:20 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: login, ss_id: 6, ps_id: 10000, proc_type: 1048576, msg_type: 0
(2017-12-14 21:50:50 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: PowerSimConfParam, ss_id: 6, ps_id: 4, proc_type: 259, msg_type: 2
(2017-12-14 21:50:50 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: UnionSimConfParam, ss_id: 6, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 21:50:50 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: UnionSimConfParam, ss_id: 6, ps_id: 10000, proc_type: 261, msg_type: 2
(2017-12-14 21:51:09 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: , ss_id: 6, ps_id: 10000, proc_type: 356, msg_type: 0
(2017-12-14 21:51:09 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: , ss_id: 6, ps_id: 10000, proc_type: 356, msg_type: 0
(2017-12-14 21:51:51 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 4, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 21:51:51 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 4, ps_id: 3, proc_type: 1048578, msg_type: 0
(2017-12-14 21:51:51 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 3, ps_id: 4, proc_type: 1048578, msg_type: 1
(2017-12-14 21:51:51 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 3, ps_id: 4, proc_type: 1048578, msg_type: 1
(2017-12-14 21:51:51 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 3, ps_id: 4, proc_type: 1048578, msg_type: 1
(2017-12-14 21:51:51 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 4, ps_id: 3, proc_type: 65536, msg_type: 0
(2017-12-14 21:51:51 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 3, ps_id: 4, proc_type: 1048578, msg_type: 1
(2017-12-14 21:51:51 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 4, ps_id: 3, proc_type: 65536, msg_type: 0
(2017-12-14 21:51:52 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 3, ps_id: 4, proc_type: 65536, msg_type: 1
(2017-12-14 21:51:52 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 3, ps_id: 4, proc_type: 65536, msg_type: 1
(2017-12-14 21:51:52 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 3, ps_id: 4, proc_type: 65536, msg_type: 1
(2017-12-14 21:51:52 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: application request, ss_id: 3, ps_id: 4, proc_type: 65536, msg_type: 1
(2017-12-14 21:52:26 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 4, ps_id: 3, proc_type: 65537, msg_type: 0
(2017-12-14 21:52:26 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 4, ps_id: 3, proc_type: 65537, msg_type: 0
(2017-12-14 21:52:26 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: send data, ss_id: 3, ps_id: 4, proc_type: 65537, msg_type: 1
(2017-12-14 21:52:26 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: send data, ss_id: 3, ps_id: 4, proc_type: 65537, msg_type: 1
(2017-12-14 21:52:27 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: invoke, ss_id: 4, ps_id: 3, proc_type: 65538, msg_type: 0
(2017-12-14 21:52:27 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: invoke, ss_id: 4, ps_id: 3, proc_type: 65538, msg_type: 0
(2017-12-14 21:52:27 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 3, ps_id: 5, proc_type: 1048578, msg_type: 0
(2017-12-14 21:52:27 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 3, ps_id: 5, proc_type: 1048578, msg_type: 0
(2017-12-14 21:52:27 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 3, ps_id: 5, proc_type: 1048578, msg_type: 0
(2017-12-14 21:52:27 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 5, ps_id: 3, proc_type: 1048578, msg_type: 1
(2017-12-14 21:52:27 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 3, ps_id: 5, proc_type: 1048578, msg_type: 0
(2017-12-14 21:52:27 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 5, ps_id: 3, proc_type: 1048578, msg_type: 1
(2017-12-14 21:52:28 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: start session, ss_id: 5, ps_id: 3, proc_type: 1048578, msg_type: 1
(2017-12-14 21:52:28 周四) Info:  SBS: client_proxy:rcv_lower_thread, msg_name: start session, ss_id: 5, ps_id: 3, proc_type: 1048578, msg_type: 1
(2017-12-14 21:52:28 周四) Info:  SBS: session_layer:rcv_lower_thread,msg_name: application request, ss_id: 3, ps_id: 5, proc_type: 65536, msg_type: 0
